project,hash,date,fileId,fileName,dok0.004Values,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.5,dok0.004FileBusFactor0.6,dok0.004FileBusFactor0.7,dok0.004FileBusFactor0.8,dok0.004FileBusFactor0.9,dok0.004FileBusFactor1.0,dok0.004ProjectBusFactor0.5,dok0.004ProjectBusFactor0.6,dok0.004ProjectBusFactor0.7,dok0.004ProjectBusFactor0.8,dok0.004ProjectBusFactor0.9,dok0.004ProjectBusFactor1.0,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
vaadin-platform,842c311ee72b138fe70b29c76d0d6758fca8d30a,1618432926,230,"vaadin-platform-gradle-test/src/main/java/com/vaadin/platform/gradle/test/service/GreetService.java","{""17"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,false,true,false,0,0,0,0,1,1,17,12,12,12,0,0,0,0,12,0,0,12,1.0,0.0,0.0,1.0,0,-12,0,12,0,0,12,0,0,0,0,0.7615,0.0012,0.8304,0.5913,0.0000,0.0000,0.0000,0.0000,0.0000,0.7692,0.0013,0.8283,0.5970,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,1,3,3.0000,3.0000,3,3,0.0000,false,112.1250,-1.0000,-1.0000,-1.0000,-1.0000,112.1250,112.1250,112.1250,112.1250,true,false
vaadin-platform,27772937161f0efa583953216c88f87e82ef7a3e,1614697692,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,true,true,false,1,0,0,0,1,1,0,142,142,161,19,35,16,32,142,0,0,142,1.0,0.0,0.0,1.0,19,-142,-6,142,0,0,142,137,-11,0,126,0.7266,0.0193,0.8030,0.5205,0.0000,0.0000,0.0000,0.0000,0.0000,0.7284,0.0211,0.7916,0.4940,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,14.3333,-1.0000,-1.0000,-1.0000,-1.0000,248.9155,17.7797,113.2667,3.0000,false,false
vaadin-platform,2ab9620ab64814f035849c6e06f6ea5b5e4efcc0,1624431908,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.61057585,""3"":0.04347826}",null,0.0435,0.6541,0.3270,0.3270,0.2835,0.0435,0.6106,0.6541,1.0000,0.1330,1.8670,1,1,1,1,1,1,2,0,0,0,0,0,false,false,true,false,1,0,1,9734216,2,2,3,136,142,161,19,30,5,32,5,11,0,16,0.036764707,0.080882356,0.0,0.11764706,25,6,13,-137,11,0,-126,-8,11,0,3,0.7861,0.0130,0.8197,0.6533,0.0000,0.0000,0.0000,0.0000,0.0000,0.7870,0.0032,0.7105,0.6825,0.7284,0.0211,0.7211,36.4184,104.3307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,25.8571,-1.0000,-1.0000,-1.0000,-1.0000,234.5821,18.0448,113.2667,2.0000,true,true
vaadin-platform,e088a583546975f1993e455b7f6aec03ce52bd97,1639037344,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.37778023,""3"":0.019919911}",0.3101,0.3778,0.3977,0.1989,0.1989,0.1789,0.0199,0.3778,0.3977,1.0000,0.1002,1.8998,1,1,1,0,0,0,1,0,0,0,0,0,false,false,true,false,1,0,2,24339652,2,2,0,149,142,161,19,17,5,32,13,0,0,13,0.087248325,0.0,0.0,0.087248325,12,-13,0,8,-11,0,-3,13,0,-4,9,0.7392,0.0033,0.6732,0.6778,0.7266,0.0193,0.7194,36.3301,104.0775,0.7030,0.0024,0.5661,0.6762,1.5154,0.0243,0.6300,44.4435,123.8683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,208.7250,17.3938,113.2667,2.0000,false,false
vaadin-platform,eab69332086bf9365421a8cf08280ad9d4781db3,1641815270,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.32484856,""3"":0.0175221,""5"":0.026143791}",null,0.0261,0.3685,0.1228,0.0261,0.1429,0.0175,0.3248,0.3685,0.2128,0.1426,2.6445,1,1,1,1,1,0,2,0,0,0,0,0,false,false,true,false,1,0,3,27117578,3,3,5,149,142,161,19,17,5,28,0,0,4,4,0.0,0.0,0.026845638,0.026845638,12,0,0,-13,0,4,-9,0,0,2,2,0.7328,0.0023,0.6266,0.7268,0.7266,0.0193,0.7194,36.3301,104.0775,0.7021,0.0031,0.6236,0.6936,1.5154,0.0243,0.6300,44.4435,123.8683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,23.1250,-1.0000,-1.0000,-1.0000,-1.0000,208.7250,18.9750,113.2667,2.0000,false,false
vaadin-platform,55f4f5895b511f2e414911acba767c8daad7bfdc,1664954021,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.12415432,""3"":0.0059853275,""5"":0.0044831266}",0.1111,0.1242,0.1346,0.0449,0.0060,0.0561,0.0045,0.1242,0.1346,0.1334,0.0999,2.7667,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,1,0,4,50256329,3,3,0,149,142,161,19,17,5,26,0,0,2,2,0.0,0.0,0.013422819,0.013422819,12,0,-5,0,0,-2,-2,0,-5,2,-3,0.7347,0.0005,0.3046,0.7689,1.4658,0.0226,0.6057,42.8051,119.4009,0.7005,0.0009,0.3769,0.7315,2.2184,0.0267,0.5080,41.0980,131.9087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,113.2667,-1.0000,-1.0000,-1.0000,-1.0000,185.6000,18.5600,113.2667,2.0000,true,false
vaadin-platform,010a27f9be6aff40162c63a6b4ff383dce715f4e,1668676709,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.10621777,""3"":0.0017359921,""5"":0.0039008756}",0.1044,0.1062,0.1119,0.0373,0.0039,0.0488,0.0017,0.1062,0.1119,0.1046,0.0466,2.8488,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,1,0,5,53979017,3,3,0,144,142,161,19,17,0,26,0,5,0,5,0.0,0.034722224,0.0,0.034722224,17,5,0,0,5,-2,3,0,5,-2,3,0.7375,0.0011,0.4575,0.7500,1.4658,0.0226,0.6057,42.8051,119.4009,0.6860,0.0017,0.5279,0.6920,2.9189,0.0276,1.1004,69.4310,219.3810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,72.3333,8.0370,43.3333,2.0000,false,true
vaadin-platform,51994a342af75cfdc428403c52d514f8fd42f546,1669642797,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.1129851,""3"":0.0016611178,""5"":0.003717698}",0.1016,0.1130,0.1184,0.0395,0.0037,0.0520,0.0017,0.1130,0.1184,0.0942,0.0421,2.8637,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,1,0,6,54945105,3,3,0,144,142,161,19,17,0,24,0,0,2,2,0.0,0.0,0.013888889,0.013888889,17,0,5,0,-5,2,-3,-5,0,2,-3,0.7349,0.0015,0.4703,0.7433,1.4658,0.0226,0.6057,42.8051,119.4009,0.6887,0.0022,0.5274,0.6898,2.9189,0.0276,1.1004,69.4310,219.3810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,72.3333,9.0417,43.3333,2.0000,false,false
vaadin-platform,4171ff6ced7dc272969521dbd0f57a173fa99e4e,1681971640,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.06131276,""3"":9.0358075E-4,""5"":0.002022277,""7"":0.038961038}",null,0.0390,0.1032,0.0258,0.0205,0.0256,0.0009,0.0613,0.1032,0.7943,0.0350,2.3765,0,0,0,0,0,0,1,0,0,0,0,0,false,false,true,false,1,0,7,67273948,4,4,7,149,142,161,19,12,0,24,5,0,0,5,0.033557046,0.0,0.0,0.033557046,12,-5,7,5,0,-2,3,-2,0,0,-2,0.7781,0.0011,0.6972,0.7422,2.2033,0.0237,1.1539,69.8865,203.9535,0.7419,0.0009,0.6991,0.6781,3.6049,0.0293,1.3666,87.2966,271.9861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,43.3333,-1.0000,-1.0000,-1.0000,-1.0000,71.3333,10.1905,43.3333,2.0000,false,false
vaadin-platform,d755f318cf52d163a829b1184bfc1257c9b442ac,1685100977,110,"scripts/generator/templates/template-vaadin-maven-plugin-pom.xml","{""0"":0.050396025,""3"":7.4057333E-4,""5"":0.0016641115,""7"":0.08144337}",0.0337,0.0814,0.1342,0.0336,0.0260,0.0342,0.0007,0.0814,0.1342,0.7756,0.0221,2.4267,0,0,0,0,0,0,0,0,0,0,0,0,true,false,false,false,1,0,8,70403285,4,4,7,156,142,161,19,5,0,24,7,0,0,7,0.044871796,0.0,0.0,0.044871796,5,-7,0,2,0,0,2,7,0,-6,1,0.7841,0.0014,0.7133,0.7350,2.2033,0.0237,1.1539,69.8865,203.9535,0.7734,0.0046,0.6407,0.7431,4.3468,0.0302,1.5988,103.5462,322.4850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,1.0000,-1.0000,-1.0000,-1.0000,-1.0000,28.0000,4.6667,19.0000,2.0000,false,false
