isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,47.0,47,1.0,0.6911,0.0002,
True,0,0,30.0,30,1.0,0.6911,0.0002,
True,0,0,1410.0,1410,1.0,0.6911,0.0002,
True,0,0,109.0,109,1.0,0.6911,0.0002,
True,0,0,58.0,58,1.0,0.6911,0.0002,
True,0,0,33.0,33,1.0,0.6911,0.0002,
True,0,0,37.0,37,1.0,0.6911,0.0002,5.0
True,0,0,31.0,31,1.0,0.6911,0.0002,
True,0,0,2.0,2,1.0,0.6911,0.0002,
True,0,0,47.0,47,1.0,0.6911,0.0002,
True,0,0,66.0,66,1.0,0.6911,0.0002,1.0
True,0,0,11.0,11,1.0,0.6911,0.0002,
True,0,0,138.0,138,1.0,0.6636,0.1624,
False,1,42838222,40.0,141,3.525,0.5715,0.4773,
False,2,52603950,40.0,1,0.025,0.7579,0.6438,
True,0,0,3922.0,3922,1.0,0.6911,0.0002,
False,0,0,34.0,34,1.0,0.7538,0.7303,
False,1,3094446,34.0,1,0.029411765,0.7568,0.6669,
False,2,3381759,34.0,1,0.029411765,0.7579,0.6482,
True,0,0,52.0,52,1.0,0.6911,0.0002,
False,1,52254544,35.0,23,0.6571429,0.7538,0.7303,
False,2,55636303,35.0,6,0.17142858,0.7579,0.6482,
True,0,0,8.0,8,1.0,0.6911,0.0002,
True,0,0,42.0,42,1.0,0.6911,0.0002,
False,1,52254544,31.0,18,0.58064514,0.7538,0.7303,
False,2,55636303,31.0,6,0.19354838,0.7579,0.6482,
True,0,0,31.0,31,1.0,0.6911,0.0002,
True,0,0,57.0,57,1.0,0.6911,0.0002,
False,1,52254544,39.0,23,0.5897436,0.7538,0.7303,
False,2,55636303,45.0,27,0.6,0.7579,0.6482,
True,0,0,85.0,85,1.0,0.6911,0.0002,
True,0,0,46.0,46,1.0,0.6911,0.0002,
False,1,52254544,35.0,18,0.51428574,0.7538,0.7303,
False,2,55636303,40.0,15,0.375,0.7579,0.6482,
True,0,0,110.0,110,1.0,0.6911,0.0002,
True,0,0,55.0,55,1.0,0.6911,0.0002,
False,1,52254544,28.0,30,1.0714285,0.7538,0.7303,
False,2,55636303,31.0,22,0.7096774,0.7579,0.6482,
True,0,0,107.0,107,1.0,0.6911,0.0002,
True,0,0,47.0,47,1.0,0.6911,0.0002,
False,1,52254544,27.0,29,1.074074,0.7538,0.7303,
False,2,55636303,30.0,4,0.13333334,0.7579,0.6482,
True,0,0,27.0,27,1.0,0.6911,0.0002,
True,0,0,55.0,55,1.0,0.6911,0.0002,
True,1,29780955,60.0,6,0.1,0.6258,0.6459,
False,2,29955483,65.0,6,0.092307694,0.6244,0.7563,
False,3,52254544,33.0,35,1.060606,0.7538,0.7303,
False,4,55636303,37.0,24,0.6486486,0.7579,0.6482,
True,0,0,47.0,47,1.0,0.6911,0.0002,
True,1,29780955,55.0,9,0.16363636,0.6258,0.6459,
False,2,29955483,63.0,9,0.14285715,0.6244,0.7563,
False,3,52254544,44.0,28,0.6363636,0.7538,0.7303,
False,4,55636303,47.0,6,0.12765957,0.7579,0.6482,
True,0,0,129.0,129,1.0,0.6911,0.0002,5.0
True,0,0,45.0,45,1.0,0.6911,0.0002,3.0
True,0,0,51.0,51,1.0,0.6911,0.0002,1.0
True,1,13133022,50.0,3,0.06,0.6685,0.1625,1.0
True,0,0,169.0,169,1.0,0.6911,0.0002,
True,0,0,75.0,75,1.0,0.6911,0.0002,
True,0,0,131.0,131,1.0,0.6911,0.0002,
True,0,0,202.0,202,1.0,0.6911,0.0002,
True,0,0,45.0,45,1.0,0.6911,0.0002,
True,0,0,89.0,89,1.0,0.6911,0.0002,
True,0,0,7.0,7,1.0,0.6911,0.0002,
True,0,0,86.0,86,1.0,0.6911,0.0002,
True,0,0,11.0,11,1.0,0.6911,0.0002,
True,0,0,49.0,49,1.0,0.6911,0.0002,4.0
True,0,0,55.0,55,1.0,0.6911,0.0002,
True,0,0,66.0,66,1.0,0.6911,0.0002,2.0
True,1,13133022,65.0,3,0.046153847,0.6685,0.1625,2.0
True,0,0,78.0,78,1.0,0.6911,0.0002,
True,0,0,59.0,59,1.0,0.6911,0.0002,1.0
