isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
False,0,0,109.0,109,1.0,0.8294,0.5886,
True,1,114,123.0,14,0.11382114,0.8308,0.5926,
True,2,3774,124.0,1,0.008064516,0.8307,0.5926,
False,3,110566007,0.0,124,inf,0.8054,0.4879,
True,0,0,331.0,331,1.0,0.8457,0.4954,
False,1,431691940,474.0,157,0.33122364,0.8093,0.5204,
False,2,447515213,0.0,474,inf,0.8246,0.3756,
True,0,0,2.0,2,1.0,0.5521,0.3209,
True,1,692411,4.0,2,0.5,0.5383,0.3052,
False,2,56235809,2.0,2,1.0,0.8054,0.4879,
True,0,0,28.0,28,1.0,0.8457,0.4954,
False,1,60075655,34.0,6,0.1764706,0.8188,0.7685,
False,2,447515213,0.0,34,inf,0.8246,0.3756,
True,0,0,72.0,72,1.0,0.8624,0.5278,1.0
True,1,38537493,73.0,4,0.05479452,0.7818,0.7078,1.0
True,2,82601913,73.0,5,0.06849315,0.7815,0.6699,1.0
True,3,83129670,73.0,2,0.02739726,0.7849,0.6765,1.0
True,4,331165589,76.0,6,0.078947365,0.9096,0.5849,1.0
True,5,335327790,74.0,5,0.067567565,0.9288,0.6205,1.0
False,6,492494578,74.0,1,0.013513514,0.7112,0.5272,1.0
False,7,492494582,74.0,14,0.1891892,0.7131,0.5297,1.0
False,0,0,18.0,18,1.0,0.8294,0.5886,
True,1,114,18.0,1,0.055555556,0.8308,0.5926,
True,2,4847534,18.0,1,0.055555556,0.8176,0.6356,
True,3,24633926,18.0,1,0.055555556,0.8232,0.7433,
False,4,25236105,18.0,1,0.055555556,0.5675,0.4411,
False,5,25388995,18.0,1,0.055555556,0.5686,0.4429,
False,6,25905106,18.0,1,0.055555556,0.5565,0.4275,
False,7,26700942,18.0,1,0.055555556,0.5591,0.4398,
False,8,27289361,18.0,1,0.055555556,0.5595,0.4406,
False,9,34545245,18.0,1,0.055555556,0.8164,0.5187,
False,10,40259635,18.0,1,0.055555556,0.85,0.4849,
False,11,40260604,18.0,1,0.055555556,0.8501,0.4847,
False,12,40437504,18.0,1,0.055555556,0.8485,0.4736,
False,13,40592701,18.0,1,0.055555556,0.8471,0.4739,
False,14,42156840,18.0,1,0.055555556,0.8775,0.4657,
False,15,42240380,18.0,1,0.055555556,0.8776,0.4651,
True,16,42663037,18.0,1,0.055555556,0.8781,0.465,
False,17,48379261,18.0,1,0.055555556,0.8706,0.3834,
True,18,49951149,18.0,1,0.055555556,0.8741,0.2603,
True,19,50704363,18.0,1,0.055555556,0.8743,0.2516,
True,20,51396607,18.0,1,0.055555556,0.7304,0.322,
True,21,51401686,18.0,1,0.055555556,0.7305,0.3212,
True,22,51957606,18.0,1,0.055555556,0.7233,0.3163,
True,23,53568893,18.0,1,0.055555556,0.5585,0.3269,
True,24,59044035,18.0,1,0.055555556,0.5682,0.3531,
False,25,59271811,18.0,1,0.055555556,0.5692,0.359,
False,26,62211436,18.0,1,0.055555556,0.5954,0.3858,
False,27,64630602,18.0,1,0.055555556,0.5949,0.3903,
False,28,65043183,18.0,1,0.055555556,0.5951,0.3907,
False,29,72664484,18.0,1,0.055555556,0.8077,0.6007,
False,30,83280092,18.0,1,0.055555556,0.635,0.3044,
False,31,83803854,18.0,1,0.055555556,0.5916,0.3342,
False,32,87444280,18.0,1,0.055555556,0.5651,0.2846,
False,33,88561602,18.0,1,0.055555556,0.567,0.293,
True,34,90629268,18.0,1,0.055555556,0.5648,0.2902,
