isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,11.0,11,1.0,0.8673,0.1755,
False,1,1982938,22.0,11,0.5,0.8635,0.2173,
False,2,3638522,11.0,11,1.0,0.863,0.2547,
True,0,0,144.0,144,1.0,0.8673,0.1755,13.0
False,1,1982938,288.0,144,0.5,0.8635,0.2173,
True,2,20554882,288.0,2,0.0069444445,0.8292,0.6619,13.0
True,3,37071072,286.0,18,0.062937066,0.8885,0.8314,13.0
True,4,37692973,286.0,1,0.0034965035,0.8897,0.8033,13.0
True,0,0,21.0,21,1.0,0.8673,0.1755,
False,1,1982938,42.0,21,0.5,0.8635,0.2173,
False,2,3638522,21.0,21,1.0,0.863,0.2547,
True,0,0,197.0,197,1.0,0.8673,0.1755,24.0
False,1,1982938,394.0,197,0.5,0.8635,0.2173,
True,2,33170944,394.0,1,0.002538071,0.8527,0.822,24.0
True,3,39928282,406.0,12,0.02955665,0.8679,0.7869,26.0
True,4,45523697,406.0,2,0.0049261083,0.7735,0.743,26.0
True,5,47362326,406.0,2,0.0049261083,0.6915,0.7527,26.0
True,6,73349096,406.0,8,0.019704433,0.7532,0.7533,26.0
True,7,109118064,406.0,1,0.0024630541,0.7043,0.664,26.0
True,0,0,315.0,315,1.0,0.8673,0.1755,17.0
False,1,1982938,630.0,315,0.5,0.8635,0.2173,
True,2,37833731,627.0,19,0.030303031,0.8863,0.8014,17.0
True,0,0,11.0,11,1.0,0.8673,0.1755,
False,1,1982938,22.0,11,0.5,0.8635,0.2173,
False,2,3638522,11.0,11,1.0,0.863,0.2547,
True,0,0,107.0,107,1.0,0.8616,0.5284,8.0
True,1,3002950,107.0,2,0.018691588,0.8292,0.6619,8.0
True,2,20141041,104.0,13,0.125,0.8897,0.8033,8.0
True,0,0,45.0,45,1.0,0.8335,0.7861,1.0
True,1,604153,45.0,2,0.044444446,0.8351,0.7885,1.0
True,2,2521877,48.0,4,0.083333336,0.8408,0.7916,1.0
True,3,2615260,49.0,4,0.08163265,0.841,0.7923,1.0
True,4,7419646,47.0,2,0.04255319,0.8586,0.8315,1.0
True,5,9952954,43.0,11,0.25581396,0.8885,0.8314,1.0
True,6,10379811,43.0,3,0.069767445,0.8879,0.8114,1.0
False,7,12521550,62.0,20,0.32258064,0.8677,0.7872,3.0
False,8,15898473,119.0,57,0.4789916,0.8616,0.7848,4.0
False,9,45624157,135.0,16,0.11851852,0.7485,0.7594,5.0
True,10,46899250,135.0,1,0.0074074073,0.7535,0.7559,5.0
True,11,50293450,312.0,177,0.5673077,0.7546,0.7414,27.0
False,12,50493773,423.0,111,0.26241136,0.757,0.7426,31.0
False,13,52793102,449.0,26,0.05790646,0.8016,0.7254,35.0
False,14,53246392,449.0,3,0.0066815144,0.8035,0.7314,35.0
False,15,53315305,445.0,17,0.03820225,0.802,0.7282,35.0
True,16,54624068,445.0,21,0.047191013,0.8128,0.7062,35.0
False,17,55994990,469.0,24,0.051172707,0.8105,0.7018,36.0
False,18,69734823,358.0,111,0.31005585,0.8179,0.6319,32.0
False,19,70794963,358.0,2,0.005586592,0.8516,0.6211,32.0
True,20,71116333,355.0,4,0.011267605,0.7879,0.6113,32.0
True,21,73890125,352.0,18,0.051136363,0.6901,0.6278,32.0
False,22,74129240,342.0,14,0.040935673,0.6958,0.6333,32.0
False,23,77075565,338.0,6,0.01775148,0.6909,0.6501,32.0
False,24,81393688,338.0,2,0.00591716,0.7031,0.6521,32.0
True,25,81999946,106.0,297,2.8018868,0.7043,0.664,9.0
False,0,0,71.0,71,1.0,0.8559,0.8248,3.0
True,1,284462,69.0,4,0.057971016,0.8555,0.8297,3.0
True,2,764828,86.0,25,0.29069766,0.8586,0.8315,4.0
True,3,2172085,86.0,1,0.011627907,0.8612,0.8337,4.0
True,4,3724993,86.0,2,0.023255814,0.8879,0.8114,4.0
True,5,3920037,86.0,1,0.011627907,0.8897,0.8033,4.0
True,6,13413449,91.0,11,0.12087912,0.7041,0.7512,4.0
False,7,13575805,106.0,16,0.1509434,0.6885,0.7509,6.0
True,8,13589390,106.0,2,0.018867925,0.6915,0.7527,6.0
True,9,36570148,109.0,4,0.036697246,0.767,0.7523,6.0
False,10,38969339,97.0,12,0.12371134,0.7485,0.7594,5.0
False,11,46591574,99.0,3,0.030303031,0.8035,0.7314,5.0
False,12,63767984,82.0,17,0.20731707,0.85,0.6128,4.0
True,13,64461515,79.0,4,0.050632913,0.7879,0.6113,4.0
True,14,67219285,78.0,9,0.115384616,0.6817,0.6216,4.0
True,15,67235307,78.0,7,0.08974359,0.6901,0.6278,4.0
True,16,75116537,63.0,15,0.23809524,0.6978,0.6583,3.0
True,17,75345128,0.0,63,inf,0.7043,0.664,
True,0,0,92.0,92,1.0,0.8673,0.1755,4.0
False,1,1982938,184.0,92,0.5,0.8635,0.2173,
True,2,25395218,189.0,42,0.22222222,0.8291,0.7484,4.0
True,3,32847132,240.0,54,0.225,0.853,0.8267,6.0
True,4,34390851,259.0,65,0.25096524,0.8574,0.8282,7.0
True,5,35851305,259.0,1,0.0038610038,0.8584,0.8338,7.0
True,6,35945021,259.0,8,0.03088803,0.8612,0.8337,7.0
True,7,42231434,259.0,4,0.015444015,0.8655,0.7858,7.0
False,8,43446173,261.0,25,0.09578544,0.8613,0.7846,7.0
True,9,43626554,263.0,2,0.0076045627,0.8613,0.7865,7.0
True,10,46474962,241.0,43,0.17842324,0.7182,0.743,5.0
True,11,47362326,241.0,4,0.016597511,0.6915,0.7527,5.0
True,12,51489792,244.0,7,0.028688524,0.6477,0.7382,5.0
True,13,63063954,245.0,3,0.012244898,0.734,0.7649,5.0
True,14,73349096,245.0,6,0.024489796,0.7532,0.7533,5.0
False,15,73441940,246.0,3,0.0121951215,0.7533,0.7534,5.0
False,16,74401447,242.0,9,0.037190083,0.7635,0.7539,5.0
False,17,76975582,273.0,31,0.113553114,0.7549,0.7431,7.0
False,18,80016795,301.0,28,0.093023255,0.8025,0.7276,8.0
True,19,98065598,300.0,11,0.036666665,0.7735,0.608,8.0
True,20,98234451,281.0,27,0.09608541,0.7879,0.6113,7.0
True,21,101008243,281.0,5,0.017793594,0.6901,0.6278,7.0
False,22,103336545,281.0,2,0.0071174377,0.689,0.6504,7.0
True,23,108889473,279.0,4,0.014336918,0.6978,0.6583,7.0
True,24,109118064,278.0,3,0.010791367,0.7043,0.664,7.0
False,0,0,177.0,177,1.0,0.8035,0.7314,5.0
True,1,8616448,180.0,3,0.016666668,0.8412,0.7482,5.0
False,2,17176410,159.0,21,0.13207547,0.85,0.6128,5.0
False,3,17548571,156.0,3,0.01923077,0.8516,0.6211,5.0
True,4,17615884,154.0,2,0.012987013,0.8511,0.6231,5.0
False,5,17853809,151.0,3,0.01986755,0.7743,0.6093,5.0
False,6,18392084,144.0,7,0.048611112,0.6743,0.6055,5.0
True,7,20627711,134.0,18,0.13432837,0.6817,0.6216,5.0
True,8,20643733,134.0,3,0.02238806,0.6901,0.6278,5.0
False,9,20882848,134.0,3,0.02238806,0.6958,0.6333,5.0
True,10,22106566,131.0,3,0.022900764,0.6894,0.6462,5.0
False,11,22972035,131.0,3,0.022900764,0.689,0.6504,5.0
False,12,23744961,128.0,3,0.0234375,0.6897,0.6494,5.0
False,13,23748085,125.0,3,0.024,0.6898,0.6491,5.0
False,14,23748205,122.0,3,0.024590164,0.69,0.6491,5.0
False,15,23759446,119.0,3,0.025210084,0.6902,0.6492,5.0
False,16,23829173,117.0,2,0.017094018,0.6909,0.6501,5.0
False,17,23830245,102.0,15,0.14705883,0.6911,0.6503,5.0
False,18,23907415,99.0,3,0.030303031,0.6909,0.65,5.0
False,19,24426545,91.0,8,0.08791209,0.6942,0.6469,5.0
True,20,28524963,88.0,3,0.03409091,0.6978,0.6583,5.0
True,21,28753554,0.0,88,inf,0.7043,0.664,
True,0,0,85.0,85,1.0,0.8673,0.1755,4.0
False,1,1982938,170.0,85,0.5,0.8635,0.2173,
True,2,6734781,171.0,5,0.029239766,0.8599,0.2312,4.0
True,3,21269202,171.0,1,0.0058479533,0.8339,0.6785,4.0
True,4,25395218,169.0,3,0.01775148,0.8291,0.7484,4.0
True,5,29639995,166.0,13,0.078313254,0.8408,0.7916,3.0
True,6,35945021,161.0,18,0.111801244,0.8612,0.8337,3.0
True,7,37497929,161.0,3,0.01863354,0.8879,0.8114,3.0
True,8,41211852,163.0,2,0.012269938,0.8672,0.7869,3.0
True,9,49584125,205.0,53,0.25853658,0.686,0.7446,4.0
True,10,51489792,205.0,1,0.004878049,0.6477,0.7382,4.0
True,11,58571181,231.0,26,0.11255411,0.585,0.7397,6.0
