isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,128.0,128,1.0,0.8269,0.0002,5.0
True,1,7325546,130.0,130,1.0,0.8314,0.1461,5.0
True,2,7326956,0.0,130,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,
True,5,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,6,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,7,10295340,325.0,22,0.06769231,0.9247,0.406,
False,8,10909973,398.0,73,0.18341708,0.925,0.4178,
True,9,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,10,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,266.0,266,1.0,0.8269,0.0002,8.0
True,1,7325546,268.0,268,1.0,0.8314,0.1461,8.0
True,2,7326956,0.0,268,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,
True,5,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,6,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,7,10295340,325.0,22,0.06769231,0.9247,0.406,
False,8,10909973,398.0,73,0.18341708,0.925,0.4178,
True,9,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,10,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,136.0,136,1.0,0.8269,0.0002,5.0
True,1,7325546,138.0,138,1.0,0.8314,0.1461,5.0
True,2,7326956,0.0,138,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,3.0
False,5,4219896,265.0,2,0.00754717,0.9266,0.4093,
True,6,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,7,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,8,10295340,325.0,22,0.06769231,0.9247,0.406,
False,9,10909973,398.0,73,0.18341708,0.925,0.4178,
True,10,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,11,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,219.0,219,1.0,0.8269,0.0002,7.0
True,1,7325546,221.0,221,1.0,0.8314,0.1461,7.0
True,2,7326956,0.0,221,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,3.0
False,5,4219896,265.0,2,0.00754717,0.9266,0.4093,
True,6,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,7,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,8,10295340,325.0,22,0.06769231,0.9247,0.406,
False,9,10909973,398.0,73,0.18341708,0.925,0.4178,
True,10,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,11,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,435.0,435,1.0,0.8269,0.0002,
False,1,96254654,436.0,1,0.0022935779,0.7471,0.4172,
False,2,96541092,437.0,1,0.0022883294,0.7667,0.5313,
False,3,96545811,438.0,1,0.002283105,0.7685,0.5664,
False,4,96951850,439.0,1,0.0022779044,0.7876,0.5718,
True,5,108622468,3.0,436,145.33333,0.7981,0.4948,
True,0,0,511.0,511,1.0,0.8269,0.0002,14.0
True,1,7325546,513.0,513,1.0,0.8314,0.1461,14.0
True,2,7326956,0.0,513,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,3.0
False,5,4219896,265.0,2,0.00754717,0.9266,0.4093,
True,6,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,7,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,8,10295340,325.0,22,0.06769231,0.9247,0.406,
False,9,10909973,398.0,73,0.18341708,0.925,0.4178,
True,10,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,11,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,452.0,452,1.0,0.8269,0.0002,16.0
True,1,7325546,454.0,454,1.0,0.8314,0.1461,16.0
True,2,7326956,0.0,454,inf,0.8357,0.2723,
False,0,0,53.0,53,1.0,0.9276,0.2599,3.0
False,1,284340,106.0,53,0.5,0.9297,0.2907,
False,2,287248,159.0,53,0.33333334,0.9294,0.3329,
True,3,482237,212.0,53,0.25,0.9285,0.3788,
True,4,3897429,265.0,53,0.2,0.9264,0.4056,3.0
False,5,4219896,265.0,2,0.00754717,0.9266,0.4093,
True,6,8558891,285.0,22,0.077192985,0.9231,0.3972,3.0
False,7,8611611,305.0,22,0.07213115,0.9249,0.4047,
False,8,10295340,325.0,22,0.06769231,0.9247,0.406,
False,9,10909973,398.0,73,0.18341708,0.925,0.4178,
True,10,14861759,325.0,73,0.22461538,0.9223,0.4261,
False,11,46254083,272.0,53,0.19485295,0.8013,0.2296,
True,0,0,2231.0,2231,1.0,0.8269,0.0002,
True,1,108622468,0.0,2231,inf,0.7981,0.4948,
True,0,0,134.0,134,1.0,0.8269,0.0002,5.0
True,1,7325546,136.0,136,1.0,0.8314,0.1461,5.0
True,2,7326956,0.0,136,inf,0.8357,0.2723,
