isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,12.0,12,1.0,0.8304,0.5913,1.0
True,0,0,142.0,142,1.0,0.803,0.5205,
True,1,9734216,136.0,16,0.11764706,0.8197,0.6533,
True,2,24339652,149.0,13,0.087248325,0.6732,0.6778,
True,3,27117578,149.0,4,0.026845638,0.6266,0.7268,
True,4,50256329,149.0,2,0.013422819,0.3046,0.7689,
False,5,53979017,144.0,5,0.034722224,0.4575,0.75,
True,6,54945105,144.0,2,0.013888889,0.4703,0.7433,
True,7,67273948,149.0,5,0.033557046,0.6972,0.7422,
False,8,70403285,156.0,7,0.044871796,0.7133,0.735,
True,9,71246675,156.0,6,0.03846154,0.6949,0.7377,
True,10,92080713,156.0,12,0.07692308,0.5301,0.774,
False,11,93810478,156.0,4,0.025641026,0.5496,0.7722,
False,12,105471338,161.0,5,0.031055901,0.3551,0.767,
False,13,115056731,161.0,2,0.0124223605,0.4467,0.7327,
True,0,0,14.0,14,1.0,0.8304,0.5913,0.0
True,0,0,2.0,2,1.0,0.8304,0.5913,
False,0,0,171.0,171,1.0,0.3987,0.7829,
False,1,75910,182.0,24,0.13186814,0.4009,0.7843,
False,2,13968966,183.0,1,0.0054644807,0.4373,0.7357,
True,0,0,49.0,49,1.0,0.7874,0.5354,
True,1,89510577,49.0,1,0.020408163,0.8287,0.5849,
True,0,0,259.0,259,1.0,0.8117,0.5427,
True,1,6384813,262.0,3,0.011450382,0.8244,0.6178,
True,2,8222512,277.0,15,0.054151624,0.8211,0.6352,
True,3,8823786,286.0,10,0.034965035,0.818,0.6462,
True,4,9499248,287.0,3,0.010452962,0.8197,0.6533,
True,5,9508780,291.0,7,0.024054984,0.8196,0.6532,
True,6,19036031,288.0,64,0.22222222,0.71,0.6733,
False,7,19793328,287.0,41,0.14285715,0.6544,0.6815,
False,8,29463117,289.0,2,0.0069204154,0.6221,0.7335,
False,9,30165674,287.0,2,0.006968641,0.6079,0.7337,
False,10,30778678,287.0,1,0.0034843206,0.6241,0.7384,
False,11,37835965,288.0,1,0.0034722222,0.5728,0.7618,
False,12,38986020,290.0,2,0.0068965517,0.4918,0.7655,
False,13,45356244,292.0,2,0.006849315,0.3682,0.7805,
False,14,48310134,299.0,12,0.040133778,0.2714,0.7726,
False,15,48400694,301.0,3,0.009966778,0.2733,0.7712,
False,16,49944640,302.0,1,0.0033112583,0.2502,0.7625,
False,17,51918968,299.0,3,0.0100334445,0.3195,0.7473,
False,18,51921425,299.0,6,0.020066889,0.321,0.7475,
False,19,55637786,302.0,5,0.01655629,0.5039,0.7444,
False,20,56072838,310.0,8,0.025806451,0.5216,0.7386,
False,21,56598452,311.0,2,0.006430868,0.5299,0.7366,
False,22,64112930,316.0,5,0.015822785,0.7076,0.7415,
True,23,68605476,330.0,14,0.042424243,0.7086,0.7348,
False,24,68623855,330.0,2,0.006060606,0.7086,0.734,
False,25,78269371,329.0,1,0.0030395137,0.5405,0.7891,
False,26,78466779,330.0,1,0.003030303,0.542,0.7896,
False,27,107673394,333.0,5,0.015015015,0.3452,0.7431,
False,28,114124534,366.0,33,0.09016393,0.4338,0.7359,
True,0,0,223.0,223,1.0,0.5662,0.6162,2.0
False,1,626398,237.0,18,0.07594936,0.5732,0.6191,2.0
False,2,1032991,240.0,4,0.016666668,0.5537,0.6329,2.0
False,3,1118575,243.0,3,0.012345679,0.5465,0.6387,2.0
False,4,1825431,243.0,6,0.024691358,0.6133,0.6552,2.0
True,5,2334397,243.0,2,0.008230452,0.5948,0.6668,2.0
True,6,2347154,261.0,44,0.16858238,0.6201,0.6877,2.0
True,7,7336399,260.0,2,0.0076923077,0.6659,0.6466,2.0
False,8,9685510,260.0,1,0.0038461538,0.7296,0.6435,2.0
False,9,11668944,260.0,2,0.0076923077,0.7544,0.6715,2.0
True,10,17621567,262.0,27,0.103053436,0.8179,0.5178,1.0
True,11,24191890,266.0,4,0.015037594,0.7975,0.526,1.0
True,12,25333535,273.0,7,0.025641026,0.7809,0.5457,1.0
False,13,25490177,284.0,11,0.038732395,0.785,0.5576,
False,14,25495618,295.0,11,0.037288137,0.788,0.5671,
True,15,28866805,303.0,8,0.026402641,0.7541,0.5971,1.0
False,16,31635560,306.0,3,0.009803922,0.7478,0.604,1.0
True,17,32047349,368.0,78,0.21195652,0.7831,0.5917,2.0
False,18,32067702,365.0,3,0.008219178,0.7842,0.5936,2.0
True,19,33819905,366.0,1,0.0027322404,0.7934,0.579,2.0
True,20,33831767,386.0,20,0.051813472,0.7951,0.5828,4.0
True,21,33868823,394.0,8,0.020304568,0.7974,0.5875,4.0
True,22,33874628,409.0,15,0.036674816,0.8,0.5938,4.0
True,23,34662737,417.0,34,0.08153477,0.8019,0.6001,4.0
True,24,42268471,422.0,5,0.011848342,0.7816,0.5311,4.0
True,25,44167194,429.0,7,0.016317016,0.7852,0.5721,4.0
False,26,44671776,431.0,2,0.004640371,0.7806,0.5662,4.0
True,27,58074501,470.0,43,0.09148936,0.6911,0.672,4.0
False,28,60917390,474.0,6,0.012658228,0.7134,0.7149,4.0
True,29,71352659,484.0,10,0.020661157,0.642,0.69,4.0
False,30,89958294,483.0,1,0.0020703934,0.6307,0.6182,4.0
True,31,96765547,662.0,382,0.5770393,0.7719,0.4873,9.0
True,32,96943039,683.0,23,0.033674963,0.7787,0.5157,9.0
True,33,99118762,694.0,11,0.015850144,0.7901,0.502,9.0
True,34,107581103,701.0,7,0.009985735,0.8211,0.6352,9.0
False,35,108334631,701.0,4,0.0057061343,0.8178,0.6438,9.0
False,36,117495588,705.0,5,0.0070921984,0.7441,0.6618,9.0
False,37,117501366,705.0,1,0.0014184397,0.732,0.6613,9.0
False,38,125635825,705.0,1,0.0014184397,0.6734,0.6873,9.0
False,39,128821708,708.0,3,0.004237288,0.6221,0.7335,9.0
False,40,129524265,705.0,9,0.012765957,0.6079,0.7337,9.0
False,41,138344611,715.0,10,0.013986014,0.4918,0.7655,9.0
False,42,144714835,718.0,3,0.004178273,0.3682,0.7805,9.0
False,43,147668725,725.0,7,0.009655172,0.2714,0.7726,9.0
False,44,151277559,721.0,4,0.0055478504,0.3195,0.7473,9.0
False,45,151910442,714.0,7,0.009803922,0.4525,0.754,9.0
False,46,155431429,712.0,2,0.0028089888,0.5216,0.7386,9.0
False,47,157073670,712.0,1,0.0014044944,0.5448,0.7387,9.0
False,48,158906899,713.0,1,0.0014025245,0.6098,0.7544,9.0
True,49,167964067,724.0,11,0.01519337,0.7086,0.7348,9.0
False,50,168767022,728.0,4,0.0054945056,0.7129,0.7357,9.0
False,51,177825370,728.0,4,0.0054945056,0.542,0.7896,9.0
False,52,177892808,734.0,6,0.008174387,0.5359,0.7921,9.0
False,53,185072303,736.0,3,0.004076087,0.5457,0.7614,9.0
False,54,201994881,753.0,18,0.023904383,0.3812,0.7774,9.0
False,55,207031985,757.0,4,0.005284016,0.3452,0.7431,9.0
False,56,209180022,763.0,6,0.007863696,0.374,0.7309,9.0
False,57,213483125,778.0,15,0.019280206,0.4338,0.7359,9.0
True,0,0,6.0,6,1.0,0.8287,0.5849,
True,0,0,27.0,27,1.0,0.7835,0.5071,1.0
False,1,2915346,26.0,1,0.03846154,0.8206,0.5629,1.0
True,0,0,122.0,122,1.0,0.7171,0.7372,0.0
False,1,8198,122.0,2,0.016393442,0.7072,0.7326,0.0
False,2,75839,122.0,2,0.016393442,0.7072,0.7326,0.0
True,3,507273,126.0,4,0.031746034,0.7086,0.7348,0.0
False,4,857799,125.0,1,0.008,0.7153,0.7352,0.0
True,5,4123066,126.0,7,0.055555556,0.6963,0.7382,0.0
False,6,11749392,130.0,4,0.03076923,0.6024,0.7451,0.0
False,7,39575191,132.0,2,0.015151516,0.3452,0.7431,0.0
