isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,75.0,75,1.0,0.7867,0.7243,9.0
True,1,817837,76.0,1,0.013157895,0.8655,0.6893,9.0
True,2,4194526,76.0,2,0.02631579,0.852,0.6558,9.0
True,3,4855089,77.0,1,0.012987013,0.8444,0.6812,9.0
True,4,14033313,81.0,7,0.086419754,0.8242,0.6793,9.0
True,5,14038450,162.0,81,0.5,0.8461,0.5332,
True,6,14541412,171.0,9,0.05263158,0.844,0.532,10.0
False,7,16621316,172.0,6,0.034883723,0.8165,0.4084,10.0
False,8,16875195,173.0,1,0.0057803467,0.8165,0.4075,10.0
False,9,30005427,191.0,18,0.09424084,0.6212,0.4529,10.0
False,10,30057903,191.0,6,0.03141361,0.6214,0.4527,10.0
False,11,30746512,191.0,2,0.010471204,0.6227,0.4532,10.0
True,12,30775714,209.0,18,0.086124405,0.6273,0.4598,
False,13,30777063,227.0,18,0.07929515,0.6319,0.4667,
False,14,30843203,227.0,8,0.03524229,0.6712,0.483,10.0
False,15,30957865,228.0,2,0.00877193,0.6688,0.4823,10.0
True,16,30957884,231.0,3,0.012987013,0.6702,0.4876,10.0
True,17,31378635,231.0,1,0.0043290043,0.674,0.4918,10.0
True,18,31567083,235.0,4,0.017021276,0.6748,0.4924,10.0
False,19,31622258,239.0,4,0.016736401,0.6765,0.4953,
False,20,32679871,247.0,17,0.06882591,0.694,0.5234,
False,21,33620645,273.0,35,0.12820514,0.6996,0.5263,
True,22,36127988,276.0,3,0.010869565,0.7043,0.5343,10.0
False,23,36827810,279.0,3,0.010752688,0.7105,0.5465,
True,24,36913527,278.0,125,0.44964027,0.7111,0.5478,10.0
False,25,38091747,273.0,5,0.01831502,0.7336,0.5671,10.0
True,26,38103480,274.0,1,0.003649635,0.75,0.5795,10.0
True,27,38698350,277.0,12,0.0433213,0.7514,0.5835,
False,28,40363274,278.0,4,0.01438849,0.7742,0.6168,
False,29,42772832,158.0,120,0.75949365,0.65,0.3456,
False,0,0,7.0,7,1.0,0.5902,0.3581,0.0
False,1,188350,14.0,7,0.5,0.5926,0.3603,
False,2,60120404,7.0,7,1.0,0.65,0.3456,
True,0,0,392.0,392,1.0,0.6032,0.3347,
False,1,7039,784.0,392,0.5,0.5929,0.3571,
True,2,1121761,790.0,9,0.011392405,0.5932,0.3609,
