isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,375.0,125,0.33333334,0.8715,0.1808,
False,1,71389,250.0,125,0.5,0.8714,0.2247,
False,2,1391555,125.0,125,1.0,0.8749,0.3619,
False,0,0,132.0,2,0.015151516,0.803,0.3007,
True,1,70163458,9.0,133,14.777778,0.8867,0.0302,
False,2,70234874,,133,,0.8714,0.2247,
False,3,71555040,,128,,0.8749,0.3619,
False,0,0,1872.0,468,0.25,0.803,0.3007,
True,1,70163485,1409.0,473,0.33569908,0.8715,0.1808,
False,2,70234874,936.0,473,0.5053419,0.8714,0.2247,
False,3,71555040,468.0,468,1.0,0.8749,0.3619,
False,0,0,122.0,1,0.008196721,0.803,0.3007,
True,1,70163458,0.0,122,inf,0.8867,0.0302,
False,2,70234874,,122,,0.8714,0.2247,
False,0,0,912.0,304,0.33333334,0.803,0.3007,
False,1,2405736,1216.0,304,0.25,0.8174,0.3443,
True,2,70163485,912.0,304,0.33333334,0.8715,0.1808,
False,3,70234874,608.0,304,0.5,0.8714,0.2247,
False,4,71555040,304.0,304,1.0,0.8749,0.3619,
True,0,0,360.0,193,0.5361111,0.8867,0.0302,
False,1,71416,167.0,193,1.1556886,0.8714,0.2247,
True,0,0,0.0,50,inf,0.8867,0.0302,
False,1,71416,,50,,0.8714,0.2247,
False,0,0,138.0,46,0.33333334,0.7779,0.4957,
False,1,1828359,184.0,46,0.25,0.7818,0.4215,
True,2,46656082,138.0,46,0.33333334,0.8867,0.0302,
False,3,46727498,92.0,46,0.5,0.8714,0.2247,
False,4,48047664,46.0,46,1.0,0.8749,0.3619,
True,0,0,0.0,79,inf,0.8867,0.0302,
False,1,71416,,79,,0.8714,0.2247,
True,0,0,303.0,2,0.0066006603,0.8396,0.6629,23.0
True,1,173879839,361.0,476,1.3185595,0.8867,0.0302,
False,2,173951255,,476,,0.8714,0.2247,
True,0,0,441.0,147,0.33333334,0.8715,0.1808,
False,1,71389,294.0,147,0.5,0.8714,0.2247,
True,0,0,967.0,550,0.5687694,0.8715,0.1808,
False,1,71389,417.0,550,1.3189448,0.8714,0.2247,
True,0,0,0.0,112,inf,0.8715,0.1808,
False,1,71389,,112,,0.8714,0.2247,
False,0,0,1060.0,265,0.25,0.803,0.3007,
True,1,70163485,795.0,265,0.33333334,0.8715,0.1808,
False,2,70234874,530.0,265,0.5,0.8714,0.2247,
False,3,71555040,265.0,265,1.0,0.8749,0.3619,
False,0,0,816.0,204,0.25,0.803,0.3007,
True,1,70163485,1008.0,324,0.32142857,0.8715,0.1808,
False,2,70234874,684.0,324,0.47368422,0.8714,0.2247,
False,3,71555040,342.0,342,1.0,0.8749,0.3619,
False,0,0,878.0,5,0.005694761,0.7779,0.4957,
False,1,1828359,877.0,5,0.005701254,0.7818,0.4215,
False,0,0,1456.0,364,0.25,0.803,0.3007,
True,1,70163485,1329.0,443,0.33333334,0.8715,0.1808,
False,2,70234874,886.0,443,0.5,0.8714,0.2247,
False,3,71555040,443.0,443,1.0,0.8749,0.3619,
True,0,0,0.0,43,inf,0.8867,0.0302,
False,1,71416,,43,,0.8714,0.2247,
False,2,1391582,,43,,0.8749,0.3619,
True,0,0,0.0,24,inf,0.8715,0.1808,
False,1,71389,,24,,0.8714,0.2247,
False,2,1391555,,24,,0.8749,0.3619,
True,0,0,0.0,86,inf,0.8629,0.6784,
False,1,132441982,111.0,24,0.21621622,0.803,0.3007,
False,2,134847718,108.0,22,0.2037037,0.8174,0.3443,
True,3,202605440,,120,,0.8867,0.0302,
False,4,202676856,,120,,0.8714,0.2247,
True,0,0,1211.0,413,0.34104046,0.8715,0.1808,
False,1,71389,798.0,413,0.51754385,0.8714,0.2247,
False,2,1391555,399.0,399,1.0,0.8749,0.3619,
True,0,0,17.0,264,15.529411,0.8715,0.1808,
False,1,71389,,264,,0.8714,0.2247,
False,2,1391555,,265,,0.8749,0.3619,
False,0,0,1305.0,342,0.26206896,0.803,0.3007,
False,1,2405736,1551.0,220,0.14184397,0.8174,0.3443,
True,2,70163485,1625.0,889,0.54707694,0.8715,0.1808,
False,3,70234874,736.0,889,1.2078804,0.8714,0.2247,
False,4,71555040,150.0,586,3.9066668,0.8749,0.3619,
False,0,0,452.0,3,0.006637168,0.7818,0.4215,
True,1,44827723,339.0,113,0.33333334,0.8867,0.0302,
False,2,44899139,226.0,113,0.5,0.8714,0.2247,
False,3,46219305,113.0,113,1.0,0.8749,0.3619,
True,0,0,251.0,1,0.003984064,0.7992,0.5316,8.0
False,1,2938843,252.0,1,0.003968254,0.7983,0.5251,
False,2,13140285,284.0,123,0.43309858,0.803,0.3007,
False,3,15546021,282.0,74,0.26241136,0.8174,0.3443,
True,4,83303743,7.0,269,38.42857,0.8867,0.0302,
False,5,83375159,,269,,0.8714,0.2247,
False,6,84695325,,272,,0.8749,0.3619,
False,0,0,432.0,144,0.33333334,0.803,0.3007,
False,1,2405736,576.0,144,0.25,0.8174,0.3443,
True,2,70163485,445.0,157,0.35280898,0.8715,0.1808,
False,3,70234874,288.0,157,0.5451389,0.8714,0.2247,
False,4,71555040,144.0,144,1.0,0.8749,0.3619,
False,0,0,606.0,203,0.3349835,0.8749,0.3619,
False,1,19347031,646.0,13,0.02012384,0.8154,0.6263,
False,2,48214332,730.0,31,0.042465754,0.8138,0.6011,
True,0,0,240.0,1,0.004166667,0.8396,0.6629,6.0
True,1,90576096,306.0,1,0.003267974,0.7992,0.5316,5.0
False,2,93514939,307.0,1,0.0032573289,0.7983,0.5251,
False,3,103716381,395.0,132,0.33417723,0.803,0.3007,
True,4,105964225,389.0,1,0.002570694,0.8014,0.3302,6.0
False,5,105965951,389.0,1,0.002570694,0.8015,0.3309,
False,6,106122117,398.0,135,0.33919597,0.8174,0.3443,
False,7,129052116,399.0,27,0.067669176,0.7818,0.4215,
True,8,173879839,97.0,312,3.2164948,0.8867,0.0302,
False,9,173951255,,312,,0.8714,0.2247,
False,10,175271421,,307,,0.8749,0.3619,
True,0,0,841.0,1,0.0011890606,0.7992,0.5316,11.0
False,1,2938843,842.0,1,0.0011876485,0.7983,0.5251,
False,2,13140285,1152.0,286,0.2482639,0.803,0.3007,
False,3,15546021,1144.0,71,0.062062938,0.8174,0.3443,
True,4,83303743,914.0,308,0.3369803,0.8867,0.0302,
False,5,83375159,606.0,308,0.50825083,0.8714,0.2247,
False,6,84695325,303.0,303,1.0,0.8749,0.3619,
True,0,0,131.0,2,0.015267176,0.7979,0.59,10.0
True,1,8609575,141.0,6,0.04255319,0.8511,0.6355,12.0
False,2,8644561,151.0,10,0.06622516,0.8547,0.6407,
True,3,9044838,161.0,10,0.062111802,0.8592,0.6511,
True,4,9051640,171.0,10,0.058479533,0.8574,0.6436,
True,5,13016401,169.0,2,0.01183432,0.8593,0.6645,12.0
True,6,55770879,194.0,6,0.030927835,0.8498,0.6925,13.0
False,7,153148845,114.0,42,0.36842105,0.803,0.3007,
False,8,155554581,76.0,42,0.55263156,0.8174,0.3443,
True,9,223312303,,153,,0.8867,0.0302,
False,10,223383719,,153,,0.8714,0.2247,
True,0,0,541.0,1,0.0018484289,0.7992,0.5316,6.0
False,1,2938843,542.0,1,0.0018450185,0.7983,0.5251,
False,2,13140285,852.0,284,0.33333334,0.803,0.3007,
False,3,15546021,1136.0,284,0.25,0.8174,0.3443,
False,4,38476020,1136.0,1,0.0008802817,0.7818,0.4215,
True,5,83303743,874.0,306,0.3501144,0.8867,0.0302,
False,6,83375159,568.0,306,0.5387324,0.8714,0.2247,
False,7,84695325,284.0,284,1.0,0.8749,0.3619,
False,0,0,89.0,25,0.28089887,0.8154,0.6263,
False,0,0,174.0,58,0.33333334,0.803,0.3007,
False,1,2405736,232.0,58,0.25,0.8174,0.3443,
False,2,25335735,232.0,2,0.00862069,0.7818,0.4215,
